Sorted genes of all samples
H1 13d gene	H1 13d RPKM
ISLjo1	146.67953810199816
ISLre2	89.55461092272287
ISLjo2	81.29158237574286
ISLhe30	40.78524965103078
ISL5	28.520879798571244
ISEnfa4	28.36084866145438
ISEfm1	18.934565019112792
ISLdl1	18.10501497410914
ISEnfa110	16.65550008424805
ISEf1	16.24085192060038
MITEEc1	14.88810493311955
MTnSag1	12.249885348584945
ISLcr1	11.776960832842272
ISEfm2	9.399939252655924
ISL4	8.975835673806538
ISEfa4	7.18952339119321
ISLjo5	7.174303667253361
ISLdl4	5.925693798210671
IS153	5.31702198959012
ISLh1	5.267420259850886
ISEfa10	4.125999980817957
ISEc1	3.993073059452652
ISKpn26	3.3663985377878265
IS421	3.2922299594299935
IS150	2.9314149878460585
ISEnfa1	2.896584062726386
IS3	2.886420522415377
IS30	2.6631447840927764
ISEc52	2.571257300606914
ISEc43	2.45819513289802
IS911	2.3906421536374527
ISL2	2.320695300877523
ISEc5	2.08154720921589
IS679	2.020101303244175
ISS1E	1.8666607727480162
IS609	1.6324190318917031
ISKox3	1.5869016997221854
ISSso4	1.456105971469272
IS621	1.4457133474529247
IS629	1.3428368512758133
ISSsu6	1.277745161955861
IS640	1.065836645848738
ISEc48	0.9059673196603155
ISEc32	0.7759478418532645
Tn559	0.6653437880746523
ISLgar5	0.6595254321879499
ISEc26	0.6559697627003901
ISLpl1	0.4689990633195503
ISEfa5	0.46600258774733033
ISEc38	0.411535190176739
ISEc46	0.3930715821383507
ISEc45	0.3618925356088751
ISEc37	0.35679505692362584
ISEhe3	0.3469913997921573
ISEsa1	0.34104657309206593
Tn5403	0.3107430268806422
NBU2	0.3098185668201242
ISEc31	0.2916331615911909
ISEc18	0.2797518105634017
IS4	0.22209231635591484
ISEnfa200	0.17531118670267487
IS5	0.16531198075133746
ISEfa9	0.15839084539324094
ISLfr1	0.0982569912839088
ISEc15	0.07138132502180605
IS630	0.06527000107309239
H1 20d gene	H1 20d RPKM
ISLjo1	99.88121320029055
ISLhe30	46.38207399100354
ISLjo2	39.90671899144672
ISLre2	37.568055551459736
ISLdl1	33.724946559170604
ISEnfa4	28.30106301452908
ISLcr1	21.952614563584024
IS153	20.93135132552081
ISL2	12.40446326141349
ISLsa1	12.011144613676997
ISL5	11.58542581262537
ISLh1	11.501995836864472
MTnSag1	8.41643145850486
ISL4	7.984969670320817
ISLhe2	7.644470770423393
ISEfm1	7.548544102333711
MITEEc1	7.407125637355384
ISLjo5	7.24374965649597
ISSsu6	5.176570757924502
ISLdl4	5.007258328531452
ISEf1	4.0778068601288675
ISS1E	3.850394833555229
ISLpl1	3.4345033216526892
ISEfm2	3.307145016289125
ISEc1	3.207789780278545
IS421	2.7348648788140624
ISEc52	2.530307786473496
IS679	2.3461122277501762
IS150	2.3371696803796347
ISEfa4	2.329730444171624
ISEnfa110	1.9890113588797433
IS3	1.8681741844973956
IS30	1.8633110959113992
ISL6	1.8426887677385573
ISEnfa1	1.824741192168387
ISKpn26	1.820023414470947
ISEc5	1.7702989849912218
ISS1N	1.5504085685862985
ISLfr1	1.5427450317383988
IS911	1.463934210341049
IS640	1.4265948520665175
ISEc43	1.0237020093888476
IS609	0.9669052359624426
ISKox3	0.9558561505894027
IS621	0.8173532775670265
ISEc48	0.8098078506034586
ISEc38	0.8071482279342211
IS102	0.6023824060782532
ISS1M	0.5894115219418986
ISEc26	0.5890580517638225
ISEfa10	0.5620940060654728
Tn559	0.5564451059813803
ISEc31	0.4341241772345269
ISEsa1	0.41341786351354787
ISSau4	0.3263579502418698
ISEc13	0.31560383007991316
IS629	0.304271716305486
ISLgar5	0.25960347363842934
ISEc37	0.23362532140523598
ISEfa5	0.10941232777647558
IS4	0.10527387936873112
ISEnfa200	0.07564239354019285
ISEfa9	0.03410624950316289
H1 27d gene	H1 27d RPKM
ISSsu6	68.80680828059769
ISLjo1	44.41734284671857
IS629	20.442104490633536
ISLhe30	20.039266818397564
MITEEc1	19.093939809300256
ISLjo2	17.933156673768373
IS679	16.31961523073856
ISLre2	16.10574466147451
ISEc1	13.476176713986627
ISLdl1	13.243818315295217
IS421	12.177764010930176
IS3	11.869139620150662
ISLcr1	9.477938573193493
ISL5	8.264873586186095
ISEc5	7.63378889966444
ISLsa1	6.364465540658198
MTnSag1	6.327056366771885
IS30	6.003234254158847
IS153	5.676750971414194
ISL4	5.346239348848615
ISL2	4.880471647117931
ISSfl9	4.863001168322597
ISLh1	4.802781024815682
ISSso4	4.499935327803243
IS150	4.172704430651023
ISEc52	3.464694283756413
ISLjo5	3.3303200157364024
IS609	3.180897831886933
ISLhe2	2.960538116590295
ISEc26	2.7279450224545845
ISSau4	2.510352502192959
ISEc38	2.44809354464155
IS600	2.4213198159846345
ISCgl2	2.0841446891898734
ISEfm1	1.798448361008482
ISLpl1	1.7090558536837226
tISCpe8	1.540067439937625
ISEhe3	1.2086691452346914
ISKpn26	1.173493541636493
ISKpn19	0.937852642261727
ISL6	0.8414131873815756
ISEnfa110	0.7487842341888825
ISS1E	0.5800575099165642
ISEf1	0.4498244667555246
ISEfa4	0.39933024891609264
ISLfr1	0.34543827767041746
ISEfm2	0.22421952898014122
ISCx1	0.21024187048929222
Tn5564	0.19350198929712703
IS4	0.17241817046884195
ISEnfa1	0.14086205322782577
ISEc45	0.09734765254169023
ISEfa10	0.08531625144542473
ISMlu11	0.08394213898450376
ISMlu5	0.05388067827151311
ISEsa1	0.03979378869648731
ISLgar5	0.036423230965278844
H1 35d gene	H1 35d RPKM
ISLdl1	99.40781456463208
ISLjo1	94.55666956839912
ISL4	61.29969423149399
ISLcr1	47.28600485043726
ISLdl4	38.151449645639275
ISLh1	33.804326230534485
ISLre2	27.246600857811266
ISLhe6	25.853251413809367
ISLhe2	22.274521398729835
ISLhe30	20.63711350472471
ISL2	12.337573847791587
ISLjo2	10.467765744084621
ISL6	8.982196437427593
ISLpl1	7.9317202992386555
ISLjo5	7.368794867652947
ISL5	7.187110121377234
ISEfm1	4.014352888706894
Tn6191	1.7559245816751805
ISLsa1	1.6062404373176642
MTnSag1	1.4473363654145217
ISCgl2	1.3627864406344319
ISMlu11	0.7100014477713701
IS153	0.7065468326670621
ISMlu5	0.6223388378355283
ISBli32	0.6055608801876294
ISBli34	0.5506818134919718
ISSsu6	0.45717232104347505
ISBli35	0.3892840994870278
ISEnfa110	0.3810828527252698
ISBli31	0.3628931436325755
ISBli33	0.3477488960632694
ISBli11	0.32151969373307887
Tn5564	0.28300819060542143
Tn559	0.27668060933471045
ISEf1	0.07268711696078492
ISEfa4	0.06907341086188226
ISLfr1	0.06003928628049168
ISEfm2	0.04587517098751426
H2 10d gene	H2 10d RPKM
ISLjo1	57.83431810328281
ISLre2	39.204413121314985
ISLdl1	30.247089932694625
ISLjo2	26.80069199239642
ISEnfa4	25.831709991347083
IS153	21.16367543777494
ISLcr1	19.55378172969606
ISLhe30	16.12337185847566
ISL2	13.448403777684822
ISL5	12.637410093197948
ISLh1	9.755474217635713
ISLhe2	7.450090257648425
ISEfm1	6.5106664773028315
MITEEc1	4.781619292492011
ISLjo5	4.305635703438615
MTnSag1	4.263611736481167
ISEf1	3.893297963329497
ISEfm2	3.662479012311499
ISSsu6	3.518809039288296
ISLpl1	3.0977433996472072
IS30	2.9297380191242253
ISSso4	2.900265869122999
IS629	2.8784049277228845
ISL4	2.8777508241766108
ISLfr1	2.6327755894238805
ISEnfa1	2.5046835992019436
ISEc52	2.49717273097562
ISEfa4	2.2796091975834005
ISLdl4	1.7749919059837052
ISEc1	1.7177503249688877
IS679	1.6025847108116766
ISS1E	1.3423518477990464
ISEc17	1.2507656931551068
Tn559	1.2189456022558893
ISEc5	0.9525527060390043
tISCpe8	0.8841195985972281
ISEnfa110	0.7965318069768307
ISEhe3	0.7934416931725937
ISKpn26	0.7514700084723632
ISEfa10	0.6687273418370733
IS150	0.6669504891058599
IS911	0.5988326124851814
ISEc45	0.4134923297028381
ISEam1	0.39950325690517663
IS609	0.39618278663460216
ISLsa1	0.35177406251183463
IS1070	0.2999736125906103
ISLgar5	0.19629032459944165
IS621	0.18403078853673968
IS421	0.06450517055116287
ISEc31	0.028334497903190124
H2 17d gene	H2 17d RPKM
ISLjo1	184.67928731138184
ISLre2	158.97065394766383
ISLjo2	74.51333422935377
ISLhe30	66.6606091590596
ISL5	31.602318365564713
ISLdl1	19.073708244755654
ISEnfa4	17.177249318565003
IS153	16.13001622137009
ISLjo5	12.937036291337188
MTnSag1	11.878549634852599
ISEfm1	9.287983725461999
ISLcr1	8.970585791429688
ISLh1	7.837687512801722
ISL2	7.713306799101585
ISLhe2	4.325410177622273
ISL4	3.350452812578388
ISEnfa110	2.667229567741325
ISEfm2	2.26621142815093
ISLpl1	2.021013000857706
ISSsu6	1.7452308666051448
ICECp1	1.7109191514998667
ISLfr1	1.6240924611622518
ISEnfa1	1.4262968175924913
ISEf1	1.2365503052371374
ISS1E	1.2189300577653392
ISL6	0.7846640495310653
ISEfa4	0.7363989355323423
tISCpe8	0.672709400515271
MITEEc1	0.6103110045325167
Tn559	0.46120364930751356
IS629	0.3873751099608374
IS30	0.34675262085528047
ISSso4	0.25497026227262926
ISEc52	0.2546315160670385
IS679	0.2520783070643846
IS621	0.2128250837700338
ISLsa1	0.20598438657323548
ISEc1	0.20235284460116065
ISClsp5	0.15078008062988277
ISEfa10	0.14234595165291394
ISEc5	0.13955368593183495
ISEhe3	0.10261567614043879
ISKpn26	0.09540446940418003
IS421	0.09397516093636306
ISLgar5	0.08990210006886175
IS1070	0.08186606035481937
IS150	0.07907397464130236
IS609	0.07730140526515972
IS911	0.07446770752903956
ISEc37	0.065705254754923
IS4351	0.062394392567272354
ICEBfrYCH46-1	0.058137057056530064
ISEnfa200	0.04578495769707723
IS4	0.04211402724123397
ISEc45	0.03942769364457475
H2 24d gene	H2 24d RPKM
ISLjo1	61.11109130453538
ISLhe30	59.49953426489789
ISSsu6	22.7593121478435
ISLcr1	19.943587754420474
ISLjo2	18.783274213279018
ISL4	16.224609857504273
ISLsa1	15.91150959629588
ISLre2	14.488770034414234
ISLhe6	12.75255120835666
ISLdl4	9.962115466096483
ISLh1	9.455875443001517
ISLdl1	7.79340713723806
ISL5	7.696558217297129
ISLhe4	7.0599524928256985
ISLjo5	5.224628962513211
IS153	3.5468791799535246
ISLpl1	3.284208807181761
MTnSag1	2.909153219139258
ISLhe2	2.811979886750932
ISL2	2.592928679190403
ISL6	1.659368655092944
ISEfm1	1.461174310634957
Tn6191	1.3873738294315052
ISMlu11	1.035670415412001
ISEnfa110	0.6579558716761862
MITEEc1	0.5355581278753248
tISCpe8	0.46956776792327354
Tn559	0.4654937051108867
ISS1E	0.4224570245875227
ISLfr1	0.34062730693234594
Tn5564	0.3213278477883516
IS679	0.317807582573407
IS629	0.25599752843894774
IS30	0.23787298129999623
ISEf1	0.2372131699700531
ISMlu5	0.2309735263978434
IS421	0.22311898702298108
ISEc1	0.21569781792711215
ISBli32	0.21199938537648488
ISEfm2	0.16496660137881786
ISEc52	0.15570135390411713
IS3	0.1547112022099733
ISSso4	0.14301605668570858
ISOih1	0.1398469269526127
ISEfa4	0.13926775841155378
ISBli31	0.1383274288416108
ISBli34	0.11451389665000176
IS150	0.10582612411522434
ISEc5	0.09973124914909486
ISEnfa1	0.0973133461900732
ISKpn26	0.09513524968414669
ISBli11	0.09417247995520363
IS621	0.0525308211552352
ISBli33	0.04223873237090228
ISCre1	0.03891452888467243
H2 31d gene	H2 31d RPKM
ISLre2	105.36191233521126
ISLjo1	86.52030271521461
ISLhe30	32.79970884924786
ISLjo2	27.408425345218195
ISLcr1	22.94866585354479
ISL4	21.155450728344206
ISLdl4	13.302989519989545
ISLhe6	11.422714960912641
ISL5	9.015122453085658
ISLjo5	7.558334209464617
ISEfm1	7.331333002670779
ISLhe4	7.2387860356804925
ISLh1	7.029224049551072
MTnSag1	3.789486198511723
ISLsa1	3.6671583456638768
ISLdl1	3.402898967369573
ISSsu6	3.0482349550536068
ISCau1	2.756766716131763
ISLpl1	2.5724181637558536
ISMlu11	1.9527743850753505
ISL2	1.773281521591293
ISLhe2	1.663597500611175
ISCx1	1.1954566990265487
Tn6191	1.1941570877680947
IS153	0.8274332474162425
ISL6	0.7817169614555065
Tn5564	0.6882254473629139
ISMlu5	0.562158241948613
ISEnfa4	0.4489513542709204
ISEnfa110	0.4434416977896544
ISBli32	0.29214200182898026
ISBli34	0.22052600012670365
ISBli31	0.17828898287407088
