H1 13d gene	H1 13d RPKM
MITEEc1|1|U00096	136.96857903441884
ISLjo1|1|NC_005362	19.8702521564675
ISLre2|1|AP007281	14.242511536190465
ISL2|1|X77332	13.566245781031439
ISLdl1|1|AJ302652	6.703104199429781
ISEc1|1|L02370	4.982604600322566
ISLcr1|1|NC_014106	4.411500086393476
ISEc5|1|L02372	4.270803943133628
IS421|1|Y07501	3.880250626757483
IS629|1|X51586	3.7412097646042506
ISLhe30|1|CBUL010000181	3.5860864329011473
IS3|1|X02311	3.408872569696043
IS100|1|Z32853	3.136831023829729
IS679|1|NC_002142	2.94530336035551
ISLjo2|1|NC_005362	2.935223608951145
ISLh1|1|X81979	2.865700566832388
ISEnfa4|1|JQ911741	2.776237608552626
IS153|1|AJ239042	2.1743499519217253
ISLfr1|1|AB292687	1.6692727491933135
ISSfl9|1|NC_004337	1.644310464983751
ISSso4|1|NC_007385	1.6256109524934128
ISEc52|1|HG941718	1.4702954374894703
ISL5|1|AY040214	1.3485414127917053
IS30|1|X00792	1.254347049455254
ISEc26|1|NC_002655	0.9388859754083465
ISEc45|1|NC_004431	0.846749272914922
ISEc47|1|AIFX01000063	0.8438334696335344
ISKpn26|1|NC_016845	0.7683400070492633
ISEfm1|1|AF138282	0.5884948116752604
IS621|1|NC_009800	0.4299109466343481
ISEnfa1|1|AY884205	0.3828894368462163
ISS1E|1|X60734	0.3790984523229864
ISEc17|1|DQ388534	0.24349089783543165
ISL4|1|AY040213	0.18474761729612368
MTnSag1|1|AY928180	0.17767491268965954
H1 20d gene	H1 20d RPKM
ISLjo1|1|NC_005362	261.14035914367156
ISL2|1|X77332	56.69925850513281
ISLjo2|1|NC_005362	53.75297374342856
ISLdl1|1|AJ302652	41.49536807921748
ISLcr1|1|NC_014106	30.58321544457612
ISL5|1|AY040214	27.129039415884776
ISL4|1|AY040213	22.57475891286219
ISLh1|1|X81979	20.509344380020103
MITEEc1|1|U00096	19.657649144726744
ISSso4|1|NC_007385	14.48168132974297
ISLhe30|1|CBUL010000181	11.417162623257294
MTnSag1|1|AY928180	10.322318223746073
ISLjo5|1|NC_005362	9.57489377855667
IS679|1|NC_002142	8.226551690892302
ISLre2|1|AP007281	4.373764330723533
IS629|1|X51586	2.65783421107939
ISS1E|1|X60734	2.633346464635177
ISS1N|1|M37395	1.6757659320405671
ISLhe6|1|AY616518	1.4822319355104303
ISKpn26|1|NC_016845	1.2129887181277874
ISLdl4|1|AJ316615	0.9372805213039911
IS421|1|Y07501	0.8648193781703928
ISLhe2|1|CP000517	0.7938355714806204
ISEc1|1|L02370	0.674237570974826
ISL6|1|AY040215	0.6633445390401618
ISLga1|1|AF479752	0.6562553607603433
IS100|1|Z32853	0.4952157388226092
IS30|1|X00792	0.4752610997152608
IS3|1|X02311	0.4612828320765767
ISLhe4|1|CP000517	0.4078370099664994
ISSbo1|1|CP001062	0.3961436141277877
ISEnfa4|1|JQ911741	0.3652403088823851
IS153|1|AJ239042	0.343267555606231
ISEc32|1|NC_011747	0.24588720455607352
IS102|1|J01728	0.1830002531543152
ISKpn19|1|NC_010886	0.1696170357629877
ISEc5|1|L02372	0.1498305713277391
IS4|1|J01733	0.13564605019923645
ISEnfa1|1|AY884205	0.12089454224006947
ISEsa1|1|LCWW01000014	0.12021831422256754
ISEc17|1|DQ388534	0.07688047201276278
ISSfl9|1|NC_004337	0.07416843082212851
IS150|1|X07037	0.06702400124189577
H1 27d gene	H1 27d RPKM
ISEnfa110|1|AF173641	22.531724449404006
ISLjo1|1|NC_005362	4.2769405256231385
IS4351|1|M17124	3.846006366602019
ISLhe30|1|CBUL010000181	3.838501963935479
ISLre2|1|AP007281	3.476103843444755
ISLcr1|1|NC_014106	3.0994428264350646
ISL4|1|AY040213	2.7557633073119416
ISLdl1|1|AJ302652	1.8515919245046855
MTnSag1|1|AY928180	1.3251321239916471
ISL2|1|X77332	1.0354632525466974
ISCx1|1|U21300	0.7103631162194027
ISLsa1|1|CR936503	0.613131449748148
ISL5|1|AY040214	0.558759415525199
ISLh1|1|X81979	0.5277264453133748
ISEfm1|1|AF138282	0.4876780407218698
ISL6|1|AY040215	0.4352476340804754
ISSsu6|1|AB627109	0.358526017225612
ISLjo5|1|NC_005362	0.2416339078493415
ISBian1|1|NC_017867	0.22384164038424448
ISCau1|1|NC_012590	0.17518041421375657
ISSbo1|1|CP001062	0.148529210178896
ISLhe2|1|CP000517	0.08681136121605106
H1 35d gene	H1 35d RPKM
ISCx1|1|U21300	236.38237273451892
MITEEc1|1|U00096	5.523265624172374
ISLhe30|1|CBUL010000181	5.136637030480307
ISLjo1|1|NC_005362	4.8648476917204855
ISLre2|1|AP007281	4.435323016353706
ISL4|1|AY040213	3.5852922967524226
ISCau1|1|NC_012590	2.3442431738205722
ISLsa1|1|CR936503	1.969164266009281
