Sorted genes of all samples
H1 13d gene	H1 13d RPKM
JN985534|MOB_unknown	6.066236553407039
CP022165|MOBP	5.56071684062312
AB027308|MOBP	1.8388163465624523
NZ_CP011417|MOBP	1.358804047259001
HM021326|MOBP	1.2463820875544778
NC_019078|MOBP	1.0191030354442507
KY014464|MOBP	0.9722477234698024
CP019195|MOBP	0.9058693648393341
NC_011754|MOBP	0.5099904079182684
NC_019986|MOB_unknown	0.3759357864083236
CP018359|MOB_unknown	0.28479983818812393
NZ_CP016585|MOBP	0.2549952039591342
NZ_CP009579|MOBV	0.21359987864109292
NZ_CP008845|MOB_unknown	0.2008203987223951
CP016690|MOBV	0.19996584383421467
KU254578|MOBP	0.19338260617712116
KT325596|MOBF	0.18364679221096267
NC_010485|MOBP	0.10559994000233809
DQ318958|MOBQ	0.07831995550173408
AP017298|MOBP	0.07285577255975263
MF083142|MOBP	0.07039996000155872
AB290882|MOBP	0.06265596440138727
H1 20d gene	H1 20d RPKM
NZ_CP009579|MOBV	15.522599352397155
JN985534|MOB_unknown	6.4677497301654805
CP019195|MOBP	1.8390228148422334
NZ_CP011417|MOBP	1.8078529366245684
KY014464|MOBP	1.7544700417460386
AB027308|MOBP	0.8154988790208652
NZ_CP008845|MOB_unknown	0.762862788686185
HM021326|MOBP	0.7510935170514753
NZ_CP014319|MOB_unknown	0.617497093579585
NZ_CP010316|MOBP	0.3695856988665989
JN253636|MOBP	0.3616376193210807
CP020736|MOBP	0.3316794733418195
NC_019078|MOBP	0.2493590257413198
NC_017721|MOBP	0.17441122867861975
NC_017657|MOBP	0.11627415245241315
NZ_CP009103|MOBQ	0.08720561433930987
NZ_CP007150|MOBP	0.032610502841170494
NZ_CP012500|MOBP	0.031169878217664974
NC_018997|MOBP	0.031169878217664974
MF083142|MOBP	0.02906853811310329
H1 27d gene	H1 27d RPKM
KY014464|MOBP	49.510514868404755
NZ_CP009579|MOBV	22.3944619391403
CP020736|MOBP	21.19680939587492
CP019195|MOBP	11.47089823250973
MF083142|MOBP	10.783850050950385
NZ_CP010316|MOBP	7.1906027450845045
CP022165|MOBP	1.0877310084725287
CP018359|MOB_unknown	1.0237468315035565
NC_019078|MOBP	0.9559081860424775
KU254578|MOBP	0.7583309862989307
NZ_CP011595|MOBP	0.6167149587370823
JN253636|MOBP	0.495361370082366
AB027308|MOBP	0.2781920737781403
JQ319772|MOBH	0.2572228219858182
JN985534|MOB_unknown	0.16286881410283852
NC_018997|MOBP	0.15417873968427057
KX712120|MOBP	0.1488004115557495
GQ900390|MOBP	0.1385782513033579
CP018223|MOBP	0.11699963788612075
DQ318958|MOBQ	0.11374964794483962
NZ_CP012500|MOBP	0.09250724381056234
NC_010485|MOBP	0.08627080040760307
CP001386|MOBP	0.07678101236276674
GQ900404|MOB_unknown	0.06980092032978794
NZ_CP016533|MOBP	0.057513866938402054
KR905385|MOBP	0.057513866938402054
KT325596|MOBF	0.05295242231914948
NC_019986|MOB_unknown	0.051187341575177826
NZ_CP015833|MOBP	0.030835747936854115
NZ_CP011065|MOBP	0.029760082311149898
NZ_CP007150|MOBP	0.021507286376125135
H1 35d gene	H1 35d RPKM
NZ_CP009579|MOBV	13.807330979187082
NZ_CP010316|MOBP	1.5188064077105792
CP020736|MOBP	0.077887508087722
KY014464|MOBP	0.03491508983242711
AB290882|MOBP	0.03037612815421158
H2 10d gene	H2 10d RPKM
NZ_CP009579|MOBV	63.78847352623707
NC_011990|MOBP	3.866468800709616
KY014464|MOBP	2.0181303407181637
NZ_CP010316|MOBP	1.5146423364603199
CP019195|MOBP	1.4409175769506848
NZ_CP013027|MOBF	1.1868466069278625
CP018359|MOB_unknown	0.46265438640969764
NC_008487|MOBP	0.40390462305608527
NC_018997|MOBP	0.21460474550329348
NC_019078|MOBP	0.09197346235855434
CP020736|MOBP	0.06524613141675223
NC_017536|MOBP	0.06206339329886188
AB027308|MOBP	0.05531737228811602
AB290882|MOBP	0.05089198250506674
MF083142|MOBP	0.028591001407340867
NC_019986|MOB_unknown	0.02544599125253337
H2 17d gene	H2 17d RPKM
