Sorted genes of all samples
H1 13d gene	H1 13d RPKM
CP018359|MOB_unknown	57795.42008540523
NC_018997|MOBP	14603.310858799787
KU254578|MOBP	2408.8945310719973
AB027308|MOBP	1541.5461674765056
NC_011990|MOBP	1432.105945606627
NZ_CP011595|MOBP	848.815137104865
CP018844|MOBP	747.5460433664223
NC_019078|MOBP	398.57406437967575
KX712120|MOBP	242.19982981900193
JN985534|MOB_unknown	114.17066844141723
CP019195|MOBP	92.26251490270272
CP002136|MOB_unknown	58.47765944560395
NC_019218|MOBP	53.60452115847028
NC_011214|MOBP	30.975325228008508
NC_013942|MOBP	25.83350417275676
KT693143|MOBP	19.386806928922343
MF083142|MOBP	17.208514015560283
NC_019357|MOBP	11.206520102816087
KY014464|MOBP	10.562467223343898
NC_008487|MOBP	9.72417617387216
NZ_CP011431|MOBQ	8.751758556484944
GQ900404|MOB_unknown	8.353951349371993
AP017298|MOBP	7.123524406441233
KM085453|MOBP	7.123524406441233
NZ_CP013027|MOBF	5.7147677141226305
DQ318958|MOBQ	4.25432707606907
H1 20d gene	H1 20d RPKM
AB027308|MOBP	204149.88282480463
KU254578|MOBP	200074.7958115062
CP018359|MOB_unknown	166988.3340723287
NZ_CP011595|MOBP	40470.249123275695
NC_011990|MOBP	29960.493673271452
NC_018997|MOBP	9599.317966011493
NC_019078|MOBP	8272.099810720514
CP001386|MOBP	3830.9062545033216
CP019195|MOBP	3226.573373134963
JN985534|MOB_unknown	1728.5721457743753
KF992024|MOBP	1027.6036090405905
KM107848|MOBP	924.4876759534725
CP016748|MOBQ	675.3793977726128
KY014464|MOBP	421.32442766883986
CP016751|MOBF	376.4630046529476
MF083142|MOBP	356.43514476173294
NC_019218|MOBP	334.87788200499244
KT693143|MOBP	313.4076234274206
CP022165|MOBP	273.221665462557
DQ916413|MOBP	230.44589286255217
NC_013942|MOBP	219.06673678200542
DQ318958|MOBQ	172.2075590575212
NC_009791|MOBQ	170.05832275103108
NC_019094|MOB_unknown	125.37211787859056
NZ_CP016572|MOBP	79.02374956180151
CP002136|MOB_unknown	69.45940972338538
NZ_CP009579|MOBV	57.15014724076011
CP018984|MOBP	54.665358230292284
NZ_CP006661|MOBP	50.55589948221087
CP019559|MOBP	48.940441195979936
GQ900404|MOB_unknown	41.32395262024193
NC_008697|MOBP	29.6741149134716
CP010224|MOB_unknown	26.085129445990095
NZ_CP011019|MOBP	25.635469197894253
NC_019136|MOBP	24.470220597989968
NZ_CP015833|MOBP	22.1397233981814
NZ_CP009103|MOBQ	21.19050403309083
NZ_CP011431|MOBQ	21.00110905198921
KR905385|MOBP	20.647157775832092
NZ_CP012500|MOBP	19.80922619837283
CP007658|MOBP	17.584660689464652
CP005192|MOBP	16.328613497360035
NC_019292|MOBP	13.816519113150797
NZ_CP014972|MOBP	13.188495517098488
CP010136|MOBP	12.228413467961051
KR905387|MOBP	7.872202750516153
NC_019299|MOBP	7.781717661429759
NC_013327|MOBQ	7.606847601622349
CP020736|MOBP	4.959776091900286
NZ_CP014319|MOB_unknown	4.776080681089164
NC_017536|MOBP	4.717835794734419
CP017055|MOBP	4.660994399617136
CP018722|MOBP	4.551323943155557
NC_002126|MOBQ	4.346770058069914
NZ_CP013027|MOBF	3.6087923056737155
NC_019357|MOBP	3.538376846050814
NC_019114|MOBP	3.4957457997128527
NC_019148|MOBP	3.4957457997128527
NC_005019|MOBP	3.373801178792637
NZ_CP011607|MOB_unknown	2.809167786491241
CP018941|MOBP	2.512094384209236
NZ_CP016526|MOBP	2.223347903265646
NC_021845|MOBP	2.223347903265646
CP022087|MOBP	1.165248599904284
CP018223|MOBP	1.1053215290520637
H1 27d gene	H1 27d RPKM
AB027308|MOBP	186471.82109476667
NC_019078|MOBP	106103.6236418165
NC_018997|MOBP	16511.600393214023
CP018359|MOB_unknown	11007.270221214978
KU254578|MOBP	7804.686475277452
CP001386|MOBP	6521.057634828388
CP022165|MOBP	2067.1803469690026
CP018223|MOBP	1896.5206823195501
KF992024|MOBP	1312.810235699808
L05392|MOBP	1162.6334801557657
KM107848|MOBP	1022.8114578475135
NZ_CP012683|MOBP	885.3692005622262
JN985534|MOB_unknown	534.2102843210204
CP016751|MOBF	521.3199597568286
GQ900404|MOB_unknown	391.1388474834253
NC_019218|MOBP	317.2955252446665
CP022087|MOBP	198.78755798461037
NC_019114|MOBP	186.55447749324975
CP018844|MOBP	111.80889937193015
CP019195|MOBP	110.09772442224575
NC_019094|MOB_unknown	108.11551230559009
CP020736|MOBP	104.13801854183929
CP017055|MOBP	73.39848294816383
CP005192|MOBP	69.22811459883634
NC_011214|MOBP	47.05956104752358
CP007658|MOBP	37.91063418507704
CP002136|MOB_unknown	36.92166111937938
KX712120|MOBP	33.943242235475964
NZ_CP011595|MOBP	33.64097135124176
CP018984|MOBP	28.97046100059999
NC_017721|MOBP	28.52094608940823
CP016748|MOBQ	27.807922437173026
MF083142|MOBP	24.242804175996998
DQ916413|MOBP	23.50337224034567
NC_011990|MOBP	16.482884428294366
NC_017657|MOBP	15.686520349174527
NC_019357|MOBP	12.382264399791866
KM085453|MOBP	10.330551984710075
DQ318958|MOBQ	10.223966924550368
NC_003457|MOBP	10.0957667123303
KY421937|MOBP	8.752980006749423
CP019648|MOBP	7.932388131116664
NC_013942|MOBP	7.645675307100399
NC_009791|MOBQ	6.698461088498517
NC_019986|MOB_unknown	6.3459105048933315
NC_013372|MOBP	6.345910504893331
NC_005019|MOBP	2.951586281345736
AP017298|MOBP	2.951586281345736
NC_019299|MOBP	2.917660002249808
CP001388|MOBP	2.9009876593798087
NZ_CP009579|MOBV	2.8845047749515142
NZ_CP009103|MOBQ	2.8520946089408232
NZ_CP016533|MOBP	2.8520946089408232
NC_019136|MOBP	1.5291350614200798
NZ_CP015833|MOBP	1.5291350614200798
NC_008697|MOBP	1.4422523874757571
H1 35d gene	H1 35d RPKM
JN985534|MOB_unknown	169031.35995237055
AB027308|MOBP	161490.54609158795
NC_019078|MOBP	1628.8309961791226
CP018359|MOB_unknown	827.5860365237186
CP001386|MOBP	129.07871763690838
CP019195|MOBP	120.72993564644251
NC_019094|MOB_unknown	96.45258302952865
NC_018997|MOBP	96.17469449801352
CP002136|MOB_unknown	38.600094987113735
NC_011214|MOBP	20.991512330070844
CP005192|MOBP	15.440037994845497
NZ_CP011019|MOBP	12.277620574214492
GQ900404|MOB_unknown	9.264022796907296
NC_011990|MOBP	6.61715914064807
CP022087|MOBP	4.092540191404831
NZ_CM001146|MOBP	3.816638605467426
CP018223|MOBP	2.911550021885151
CP007658|MOBP	2.2057197135493567
NZ_CP011432|MOBP	2.2057197135493567
NZ_CP013027|MOBF	0.6337329027735092
H2 10d gene	H2 10d RPKM
CP022165|MOBP	628330.2641970328
NC_002145|MOBP	621281.4703512839
CP018359|MOB_unknown	568427.9173915419
AB027308|MOBP	36401.8604776183
KU254578|MOBP	20730.835361913865
JN985534|MOB_unknown	6651.74678605998
NC_018997|MOBP	6351.659912189949
GQ900404|MOB_unknown	4134.6380718090495
NC_019078|MOBP	3077.0465430880877
CP005192|MOBP	2822.3537367804365
NZ_CP008845|MOB_unknown	2352.8192356448267
CP018223|MOBP	1976.3819662415651
CP002136|MOB_unknown	630.5622919294365
CP010224|MOB_unknown	488.02313411100175
CP022087|MOBP	390.5918859122886
NC_019218|MOBP	379.32262873880165
NC_013327|MOBQ	348.3764250263543
CP019195|MOBP	281.58949914606853
NZ_CM001146|MOBP	199.07224287220245
CP008720|MOBP	192.79148335544423
NC_009791|MOBQ	163.8757526504416
NC_019986|MOB_unknown	162.09563265359975
CP018844|MOBP	109.9485880402324
HM021326|MOBP	68.90787084549126
NC_011990|MOBP	41.6131947313681
KX712120|MOBP	30.683326894948575
CP007658|MOBP	29.374019810377483
NZ_CP014319|MOB_unknown	26.37214810136085
NC_017721|MOBP	25.413477813472653
CP020736|MOBP	24.164524844007115
KY014464|MOBP	15.165322488307917
NZ_CP016585|MOBP	8.766664827128164
CP017223|MOB_unknown	7.097697255436399
NZ_CP012683|MOBP	6.812649172888754
NC_011754|MOBP	6.574998620346123
CP018208|MOBP	4.8956699683962475
NC_019134|MOBP	4.8956699683962475
NZ_CP010316|MOBP	4.487697471029894
NZ_CP011065|MOBP	4.383332413564082
NC_003457|MOBP	4.283711222346716
KR905385|MOBP	4.235579635578776
NC_013366|MOBP	3.1946320980212803
NZ_CP011607|MOB_unknown	3.128353423788473
CP007070|MOBP	2.3560411722906935
NC_013372|MOBP	2.3560411722906935
NC_019299|MOBP	2.166474641186845
NC_002126|MOBQ	1.058894908894694
H2 17d gene	H2 17d RPKM
JN985534|MOB_unknown	305269.3233602714
NC_018997|MOBP	119821.74216458767
KU254578|MOBP	11497.02553208252
NC_011990|MOBP	10424.834171648477
NC_019078|MOBP	5057.788042172105
CP018359|MOB_unknown	2208.0579785069967
CP001386|MOBP	1536.5288072391038
NC_019114|MOBP	848.8267367947622
CP018844|MOBP	290.7722870238963
CP019195|MOBP	237.99976183610042
NC_019986|MOB_unknown	178.07775283391769
NZ_CP009579|MOBV	123.84940584574504
CP010224|MOB_unknown	103.3669018558441
KT693143|MOBP	96.07847216604814
CP022087|MOBP	85.58612125140557
NZ_CP011595|MOBP	77.3792329122297
CP002136|MOB_unknown	60.15542569650472
NC_017655|MOBP	37.339978672761994
CP007658|MOBP	32.8580056325446
NC_019218|MOBP	31.625830421324174
NC_019357|MOBP	29.667758368972024
NC_011214|MOBP	29.521086305125422
CP016748|MOBQ	21.867471337129942
KM085453|MOBP	20.367261094233818
GQ900404|MOB_unknown	20.34668810322954
CP008720|MOBP	19.462049490045647
KX712120|MOBP	19.235746588998605
NC_017721|MOBP	16.400603502847456
CP020736|MOBP	12.475672750029263
DQ318958|MOBQ	10.541943473774726
NZ_CP013027|MOBF	10.166742270919366
CP018223|MOBP	8.896936909735153
CP005192|MOBP	8.84638613183893
NC_019292|MOBP	5.055077789622246
NC_019136|MOBP	3.517237859646804
NZ_CP014972|MOBP	3.317394799439599
KU932034|MOB_unknown	2.8147592237669325
NZ_CP010316|MOBP	2.316910653576863
KY014464|MOBP	2.2370171827638674
CP000642|MOBP	2.1386867571478736
NZ_CP012500|MOBP	1.1724126198822682
CP010020|MOBF	1.0066577322437404
NC_009791|MOBQ	0.810918728751902
CP010128|MOB_unknown	0.8075539207487821
NC_013327|MOBQ	0.5466867834282485
NZ_CP014319|MOB_unknown	0.40045369321081575
H2 24d gene	H2 24d RPKM
CP022165|MOBP	404420.29287209746
NC_002145|MOBP	397015.7401836184
CP018359|MOB_unknown	373584.41187666537
NC_018997|MOBP	78490.11195142199
AB027308|MOBP	19191.51143642111
NC_019078|MOBP	13792.321933336698
GQ900404|MOB_unknown	9634.614608206157
CP018844|MOBP	3867.282146331442
CP005192|MOBP	2809.1357316709427
NZ_CP011595|MOBP	2001.7259750841968
JN985534|MOB_unknown	1559.9586462262516
DQ916413|MOBP	1314.4012557158096
KF992024|MOBP	1202.9938168802605
CP002136|MOB_unknown	1129.1901696831274
KX712120|MOBP	476.05847740960746
CP022087|MOBP	444.29717346737544
CP010224|MOB_unknown	290.81116356845416
NC_019986|MOB_unknown	265.6706001776424
NC_019218|MOBP	229.2400234741784
CP019195|MOBP	203.03903088562856
NC_011990|MOBP	153.20217785006517
NZ_CP014319|MOB_unknown	109.73741085895493
NC_019136|MOBP	51.35693134165899
NC_017721|MOBP	33.41488347027198
NC_019357|MOBP	31.431723719597308
CP017055|MOBP	31.053028253096134
EU164802|MOBP	30.024394166097174
MF083142|MOBP	27.845736225226652
NC_010485|MOBP	25.61807732720852
NZ_CP009579|MOBV	20.276758833096864
KM085453|MOBP	16.137575505410425
NZ_CP016572|MOBP	15.715861859798654
KY014464|MOBP	13.673216684387155
JQ319772|MOBH	10.461041408029871
KT693143|MOBP	8.78374362952719
CP000430|MOBF	8.203930010632295
NZ_CP011019|MOBP	7.166083443022185
AP017298|MOBP	6.9161037880330385
KR905387|MOBP	6.9161037880330385
NZ_CP013027|MOBF	5.5483668448772505
CP020736|MOBP	5.083631844195224
NC_019094|MOB_unknown	3.6715118874743284
CP019559|MOBP	3.5830417215110923
CP016748|MOBQ	2.7845736225226654
NZ_CP012683|MOBP	2.388694481007395
NZ_CP010316|MOBP	2.3602576419477828
NC_011754|MOBP	2.3053679293443463
NC_019299|MOBP	2.2788694473978595
NC_019114|MOBP	1.1943472405036974
NZ_CP012500|MOBP	1.1943472405036974
NC_019148|MOBP	1.1943472405036974
NZ_CP012501|MOBP	1.1264866018387145
NC_009791|MOBQ	0.8260901746817239
NZ_CP012164|MOBF	0.7106152040272894
CP010205|MOBF	0.7005711728749603
DQ318958|MOBQ	0.5507267831211492
H2 31d gene	H2 31d RPKM
JN985534|MOB_unknown	71128.55892997232
NC_018997|MOBP	38778.64524613601
AB027308|MOBP	15530.339876405773
KU254578|MOBP	4524.571448112767
CP001386|MOBP	4270.985001834819
NZ_CM001146|MOBP	1114.5909936525504
NC_019078|MOBP	1109.591246836845
KF992024|MOBP	860.6879189996489
CP018359|MOB_unknown	606.9430409783404
CP022087|MOBP	239.60325124497425
DQ916413|MOBP	125.68254022535463
CP018844|MOBP	76.09848158163085
CP018984|MOBP	38.60067906314608
CP017055|MOBP	37.08145554981744
CP019195|MOBP	34.22903589213918
CP016751|MOBF	30.548494398360766
GQ900404|MOB_unknown	30.131924020201296
CP019648|MOBP	29.593853948411994
CP002136|MOB_unknown	23.675083158729592
NC_019357|MOBP	17.323231579558243
NC_019114|MOBP	17.11451794606959
KM085453|MOBP	16.51749987818344
NC_019218|MOBP	5.918770789682399
NC_017721|MOBP	5.320243406456089
NZ_CP011432|MOBP	3.074686124510337
NZ_CP012039|MOBP	2.6601217032280444
NC_013503|MOBQ	1.3300608516140222
NC_009791|MOBQ	0.6576411988535998
H3 9d gene	H3 9d RPKM
CP022165|MOBP	2777685.512722259
NC_002145|MOBP	2417088.658407226
CP018359|MOB_unknown	2160859.6853487366
NC_018997|MOBP	164037.8660827973
AB027308|MOBP	60546.93439607156
KU254578|MOBP	59791.267884340225
NC_019078|MOBP	19329.88053980607
JN985534|MOB_unknown	9250.422209288634
GQ900404|MOB_unknown	2522.1509657951906
CP019195|MOBP	1409.2184498669628
NC_019218|MOBP	1171.324634295716
CP002136|MOB_unknown	673.8919649259768
NZ_CP008845|MOB_unknown	539.181180866282
CP022087|MOBP	512.0765182635316
NZ_CP011019|MOBP	195.55678059670302
HM021326|MOBP	71.97079166179513
CP017055|MOBP	64.51357710406697
NC_019357|MOBP	36.73143452495277
NC_019114|MOBP	30.240739267531392
CP007658|MOBP	28.250872441269586
NC_017721|MOBP	16.921222646326555
NC_019094|MOB_unknown	16.526626233449253
NZ_CP012683|MOBP	12.096295707012558
NC_019136|MOBP	12.096295707012558
CP018984|MOBP	10.912962431326545
KR905387|MOBP	9.728609919399636
KM085453|MOBP	7.7828879355197085
CP010224|MOB_unknown	4.860268192098406
CP008720|MOBP	4.780916874676392
CP018980|MOBP	4.183302265341843
KR905385|MOBP	3.760271699183679
CP018223|MOBP	0.9561833749352784
H3 16d gene	H3 16d RPKM
CP022165|MOBP	928082.0974965126
NC_002145|MOBP	811945.4818737353
JN985534|MOB_unknown	618012.9612696972
AB027308|MOBP	11648.313984480485
NC_019078|MOBP	10423.641559852213
KF992024|MOBP	6060.647774270122
NZ_CP011019|MOBP	3994.208977455966
NC_019114|MOBP	2421.402812630745
CP018359|MOB_unknown	1693.5747608972774
NC_019218|MOBP	1029.5453711181262
CP018844|MOBP	650.0379316251866
CP019195|MOBP	583.2374354624283
NC_011214|MOBP	422.7609548705774
CP002136|MOB_unknown	321.1952132736216
NZ_CP011595|MOBP	254.30257849546635
CP022087|MOBP	226.66099387639392
NZ_CP012683|MOBP	204.54772618113597
KX712120|MOBP	106.70937318060518
NZ_CP011417|MOBP	35.934060004794155
MF083142|MOBP	33.51153910559455
